1.00000000  0.00000000
0.99674000  0.00048000
0.98712000  0.00204000
0.97155000  0.00485000
0.95054000  0.00894000
0.92464000  0.01420000
0.89436000  0.02041000
0.86021000  0.02731000
0.82264000  0.03460000
0.78208000  0.04199000
0.73892000  0.04925000
0.69356000  0.05620000
0.64646000  0.06270000
0.59812000  0.06861000
0.54902000  0.07381000
0.49967000  0.07816000
0.45058000  0.08154000
0.40222000  0.08385000
0.35506000  0.08500000
0.30953000  0.08493000
0.26604000  0.08359000
0.22499000  0.08096000
0.18671000  0.07703000
0.15146000  0.07182000
0.11948000  0.06548000
0.09105000  0.05809000
0.06627000  0.04976000
0.04524000  0.04078000
0.02812000  0.03145000
0.01502000  0.02206000
0.00606000  0.01293000
0.00115000  0.00448000
0.00038000  -0.00223000
0.00532000  -0.00701000
0.01649000  -0.01088000
0.03308000  -0.01403000
0.05491000  -0.01635000
0.08180000  -0.01787000
0.11351000  -0.01862000
0.14974000  -0.01867000
0.19010000  -0.01810000
0.23420000  -0.01699000
0.28153000  -0.01547000
0.33154000  -0.01363000
0.38364000  -0.01152000
0.43724000  -0.00922000
0.49176000  -0.00678000
0.54659000  -0.00430000
0.60112000  -0.00190000
0.65469000  0.00030000
0.70664000  0.00224000
0.75634000  0.00379000
0.80313000  0.00485000
0.84635000  0.00535000
0.88534000  0.00526000
0.91942000  0.00458000
0.94797000  0.00350000
0.97054000  0.00226000
0.98684000  0.00113000
0.99670000  0.00030000
1.00000000  -0.00000000
